x,z,Density,Nu_Tilde,Pressure,Temperature,U,W,dUdX,dWdX,dUdZ,dWdZ,d2UdX2,d2WdZ2,dNu_tdX,dNu_tdZ
0.0505828,1,1.32906,4.16748E-05,114460,300.013,69.378,0.038054,0.0155792,0.00191731,-0.0373547,-0.0112994,0.260223,0.0670594,1.43162E-09,-3.36172E-10
0.0417392,1,1.32906,4.16748E-05,114460,300.013,69.3779,0.038035,0.0132542,0.00235876,-0.0370237,-0.00914114,0.266989,0.0681724,1.51251E-09,-1.16289E-10
0.0330772,1,1.32906,4.16747E-05,114460,300.013,69.3778,0.0380127,0.0109048,0.0027451,-0.0366871,-0.00696771,0.273071,0.0694439,1.58873E-09,1.01326E-10
0.0245838,1,1.32906,4.16747E-05,114460,300.013,69.3777,0.0379878,0.0085693,0.00305897,-0.0363482,-0.00477489,0.280621,0.0708918,1.6545E-09,3.17662E-10
0.0162473,1,1.32906,4.16747E-05,114460,300.013,69.3776,0.0379612,0.0061812,0.00329502,-0.0360002,-0.00255734,0.286132,0.0725354,1.71481E-09,5.32782E-10
0.0080562,1,1.32906,4.16747E-05,114460,300.013,69.3776,0.0379334,0.00384027,0.00344753,-0.0356512,-0.000309729,0.296103,0.0743973,1.75736E-09,7.48241E-10
0,1,1.32906,4.16747E-05,114460,300.013,69.3776,0.0379052,0.00136916,0.00362095,-0.0352876,0.00197757,0.302159,0.0765005,1.79327E-09,0.000000001
-0.00808551,1,1.32906,4.16747E-05,114460,300.013,69.3776,0.0378749,-0.00103721,0.00400444,-0.0349208,0.00434302,0.316557,0.0788817,1.79183E-09,1.18377E-09
-0.016699,1,1.32906,4.16747E-05,114460,300.013,69.3776,0.0378384,-0.00390919,0.00475411,-0.0344967,0.00690925,0.312072,0.0816325,1.82392E-09,1.41336E-09
-0.0264028,1,1.32906,4.16746E-05,114460,300.013,69.3776,0.0377883,-0.00677021,0.0057024,-0.0340268,0.00985312,0.331313,0.0849465,1.83688E-09,1.67128E-09
-0.0378307,1,1.32906,4.16746E-05,114460,300.013,69.3777,0.0377185,-0.0108703,0.00701172,-0.0334024,0.0133895,0.324804,0.0891124,0.000000002,0.000000002
-0.0517288,1,1.32906,4.16746E-05,114460,300.013,69.3779,0.0376119,-0.0150413,0.00867345,-0.0326564,0.0177674,0.349661,0.0945403,0.000000002,2.33586E-09
-0.0690046,1,1.32906,4.16746E-05,114460,300.013,69.3782,0.0374495,-0.0217037,0.0113618,-0.0315537,0.0233419,0.343166,0.101819,2.33004E-09,2.78295E-09
-0.0907862,1,1.32906,4.16745E-05,114460,300.013,69.3788,0.0371699,-0.0284826,0.0154513,-0.0301246,0.0304741,0.378587,0.111776,2.54602E-09,3.3509E-09
-0.118496,1,1.32906,4.16744E-05,114460,300.013,69.3796,0.0366834,-0.0404752,0.0235323,-0.0278706,0.0397118,0.36941,0.125558,3.5193E-09,4.05183E-09
