Epoch,Learning rate,Training loss,Testing loss,RANS loss,BC loss,Sample loss
2.352000000000000000e+03,8.100000000000000375e-05,2.531624224824282919e+03,1.377606018242620678e+02,4.158563437500000504e+01,9.343117713928222878e-01,1.470034748940890168e+01
2.401000000000000000e+03,8.100000000000000375e-05,2.528722179061349834e+03,1.373584610767408947e+02,4.107524374999999850e+01,9.931592941284179688e-01,1.466219232094686120e+01
2.450000000000000000e+03,8.100000000000000375e-05,2.525854075015270155e+03,1.371488076155622764e+02,4.054398125000000164e+01,1.052300548553466886e+00,1.464085218299802627e+01
2.499000000000000000e+03,8.100000000000000375e-05,2.523082271379555550e+03,1.367862653325423992e+02,4.006150625000000076e+01,1.114988422393798917e+00,1.460592989334576863e+01
2.548000000000000000e+03,8.100000000000000375e-05,2.520436437423893494e+03,1.366701209973829805e+02,3.988094687499999935e+01,1.176162338256836026e+00,1.459264531267782594e+01
2.597000000000000000e+03,8.100000000000000375e-05,2.517532210242010024e+03,1.363562939815168704e+02,3.932585312500000185e+01,1.239509773254394709e+00,1.456027247641333133e+01
2.646000000000000000e+03,8.100000000000000375e-05,2.515070422251709260e+03,1.361579850076751939e+02,3.877465000000000117e+01,1.302313804626464844e+00,1.453939722071522489e+01
2.695000000000000000e+03,8.100000000000000375e-05,2.512757409444714995e+03,1.359897837633016024e+02,3.866617187500000341e+01,1.364134025573730646e+00,1.452203417109225647e+01
2.744000000000000000e+03,8.100000000000000375e-05,2.510675458585330034e+03,1.357396728139130460e+02,3.830093437500000420e+01,1.426099395751953214e+00,1.449526898831901889e+01
2.793000000000000000e+03,8.100000000000000375e-05,2.508592752366581863e+03,1.355555801596758272e+02,3.834098437500000500e+01,1.487041282653808638e+00,1.447663068367807071e+01
2.842000000000000000e+03,8.100000000000000375e-05,2.506679996742679123e+03,1.350853815466825836e+02,3.787008124999999836e+01,1.550340175628662109e+00,1.442837478920447225e+01
2.891000000000000000e+03,8.100000000000000375e-05,2.504896850972867924e+03,1.348721616979547377e+02,3.789121250000000174e+01,1.607532691955566584e+00,1.440564511058245500e+01
2.940000000000000000e+03,8.100000000000000375e-05,2.503208867464517880e+03,1.348255474030940491e+02,3.790688125000000497e+01,1.662652969360351562e+00,1.439961697852855949e+01
2.989000000000000000e+03,8.100000000000000375e-05,2.501228485648128753e+03,1.347517807914024104e+02,3.824972187499999876e+01,1.712301063537597701e+00,1.439006175577507740e+01
3.038000000000000000e+03,7.290000000000001015e-05,2.500139459706500020e+03,1.345675859893550808e+02,3.812725312500000285e+01,1.762395095825195490e+00,1.437081608936523480e+01
3.087000000000000000e+03,7.290000000000001015e-05,2.498798959418049890e+03,1.345275319901184332e+02,3.784640937500000035e+01,1.807675933837890714e+00,1.436539664497968971e+01
3.136000000000000000e+03,7.290000000000001015e-05,2.497594755354409244e+03,1.343300298730725331e+02,3.794239062500000159e+01,1.855757713317871094e+00,1.434486479327409825e+01
3.185000000000000000e+03,7.290000000000001015e-05,2.496465467630606327e+03,1.340302396781353025e+02,3.775170625000000513e+01,1.901992034912109553e+00,1.431440353671503196e+01
3.234000000000000000e+03,7.290000000000001015e-05,2.495014505586168070e+03,1.339495264519214004e+02,3.773323125000000289e+01,1.944240188598632901e+00,1.430470826202407153e+01
3.283000000000000000e+03,7.290000000000001015e-05,2.494272146750014599e+03,1.337249232966369732e+02,3.750945624999999950e+01,1.987462615966796964e+00,1.428116170776773508e+01
3.332000000000000000e+03,7.290000000000001015e-05,2.493332416972568353e+03,1.334873685897452447e+02,3.725765000000000526e+01,2.030238533020019442e+00,1.425599509914579954e+01
3.381000000000000000e+03,7.290000000000001015e-05,2.492354978291081352e+03,1.334370313537540369e+02,3.731128125000000040e+01,2.069660949707031516e+00,1.425051201949457358e+01
3.430000000000000000e+03,7.290000000000001015e-05,2.491640629261023605e+03,1.331632534606949605e+02,3.697433437500000508e+01,2.111597251892090021e+00,1.422147755557882753e+01
3.479000000000000000e+03,7.290000000000001015e-05,2.490251532583770768e+03,1.331362390859628988e+02,3.702360625000000027e+01,2.148440170288086204e+00,1.421772267271597201e+01
3.528000000000000000e+03,7.290000000000001015e-05,2.489571625162325745e+03,1.332549569328756718e+02,3.695961249999999865e+01,2.183198738098144798e+00,1.422848395608976091e+01
3.577000000000000000e+03,7.290000000000001015e-05,2.488761797538786141e+03,1.329769958792586237e+02,3.698107500000000414e+01,2.223102760314941584e+00,1.420021644149971429e+01
3.626000000000000000e+03,7.290000000000001015e-05,2.488114807201954136e+03,1.329100960123259370e+02,3.696995625000000274e+01,2.259353828430175959e+00,1.419212757172280703e+01
3.675000000000000000e+03,7.290000000000001015e-05,2.487482635794008274e+03,1.328020236205703384e+02,3.662207500000000238e+01,2.295750808715820490e+00,1.418043480850388249e+01
3.724000000000000000e+03,7.290000000000001015e-05,2.486858411337378129e+03,1.326671801098742662e+02,3.681747500000000173e+01,2.332214927673339933e+00,1.416601606781092748e+01
3.773000000000000000e+03,7.290000000000001015e-05,2.486538046702277825e+03,1.325757842197278364e+02,3.678714374999999848e+01,2.367818641662597923e+00,1.415589665020042176e+01
3.822000000000000000e+03,7.290000000000001015e-05,2.485688922093047495e+03,1.324316427352692358e+02,3.665027187500000139e+01,2.403655433654785512e+00,1.414128044396266048e+01
3.871000000000000000e+03,7.290000000000001015e-05,2.485208256070474363e+03,1.324311842979992377e+02,3.671363750000000437e+01,2.438022994995117543e+00,1.414073291888681538e+01
3.920000000000000000e+03,7.290000000000001015e-05,2.484714695668076274e+03,1.322597641124668826e+02,3.656945000000000334e+01,2.473442649841308683e+00,1.412284372920276354e+01
3.969000000000000000e+03,7.290000000000001015e-05,2.484306679047601392e+03,1.322712086426498672e+02,3.642905000000000371e+01,2.505949783325195579e+00,1.412274411710014910e+01
4.018000000000000000e+03,6.561000000000001726e-05,2.483806115272812349e+03,1.321585556372000951e+02,3.636456562500000445e+01,2.538924407958984553e+00,1.411094305855483810e+01
4.067000000000000000e+03,6.561000000000001726e-05,2.483630787292322566e+03,1.320088534407905740e+02,3.647323125000000488e+01,2.570408248901367543e+00,1.409512375902819237e+01
4.116000000000000000e+03,6.561000000000001726e-05,2.483229169358377931e+03,1.320327792946853833e+02,3.636618437500000312e+01,2.599657440185547230e+00,1.409652422564666807e+01
4.165000000000000000e+03,6.561000000000001726e-05,2.482791132762650705e+03,1.318269963859881386e+02,3.639503750000000082e+01,2.631403350830078480e+00,1.407447903140402801e+01
4.214000000000000000e+03,6.561000000000001726e-05,2.482161645510524977e+03,1.317332412390626359e+02,3.632213437500000452e+01,2.662784576416015625e+00,1.406386034196855661e+01
4.263000000000000000e+03,6.561000000000001726e-05,2.482028347768184176e+03,1.316252429375396105e+02,3.623255937500000101e+01,2.694141197204590110e+00,1.405184427996542595e+01
4.312000000000000000e+03,6.561000000000001726e-05,2.481452792250373477e+03,1.317761782330165090e+02,3.628186250000000257e+01,2.721810722351074574e+00,1.406577708796703519e+01
4.361000000000000000e+03,6.561000000000001726e-05,2.481063346353859743e+03,1.315593380315491459e+02,3.597803125000000080e+01,2.756026649475098012e+00,1.404320882138686244e+01
4.410000000000000000e+03,6.561000000000001726e-05,2.480673504356214835e+03,1.315538166112348222e+02,3.603827187499999951e+01,2.786431121826172141e+00,1.404108057411166932e+01
4.459000000000000000e+03,6.561000000000001726e-05,2.480329052860194224e+03,1.314637142875423592e+02,3.596313750000000198e+01,2.817811965942382812e+00,1.403062063194172460e+01
4.508000000000000000e+03,6.561000000000001726e-05,2.479785376974792598e+03,1.311413746978134327e+02,3.566021250000000009e+01,2.855064010620117276e+00,1.399782867414974241e+01
4.557000000000000000e+03,6.561000000000001726e-05,2.479589978824598347e+03,1.310847770254635236e+02,3.539255937500000471e+01,2.887045478820800870e+00,1.399086300753859646e+01
4.606000000000000000e+03,6.561000000000001726e-05,2.479165765122275388e+03,1.310214124183360411e+02,3.527265312500000505e+01,2.920642089843750178e+00,1.398385635329348275e+01
4.655000000000000000e+03,6.561000000000001726e-05,2.478623337542881018e+03,1.311131729245330177e+02,3.539958750000000265e+01,2.949751663208008079e+00,1.399089287330938447e+01
